nohup: ignoring input
--- input variables ---
model path : results/variable_0/loss_0.0452_acc_65.51%_epoch_11.pt
learning rate : 0.010000
image size : 256
batch size : 32
epochs : 100
use cuda device : cuda:0
data root path : /HDD2/image_net/ILSVRC/Data/CLS-LOC/
class name path : /HDD2/image_net/LOC_synset_mapping.txt
Train Epoch 1 | [64/732000 (0.01%)] Loss 0.0116, Accuaracy 76.56%
Train Epoch 74 | [524864/732000 (71.70%)] Loss 0.0016, Accuaracy 96.76%
Train Epoch 74 | [537664/732000 (73.45%)] Loss 0.0016, Accuaracy 96.76%
Train Epoch 74 | [550464/732000 (75.20%)] Loss 0.0016, Accuaracy 96.75%
Train Epoch 74 | [563264/732000 (76.95%)] Loss 0.0016, Accuaracy 96.75%
Train Epoch 74 | [576064/732000 (78.70%)] Loss 0.0016, Accuaracy 96.74%
Train Epoch 74 | [588864/732000 (80.45%)] Loss 0.0016, Accuaracy 96.73%
Train Epoch 74 | [601664/732000 (82.19%)] Loss 0.0016, Accuaracy 96.73%
Train Epoch 74 | [614464/732000 (83.94%)] Loss 0.0016, Accuaracy 96.72%
Train Epoch 74 | [627264/732000 (85.69%)] Loss 0.0016, Accuaracy 96.72%
Train Epoch 74 | [640064/732000 (87.44%)] Loss 0.0016, Accuaracy 96.71%
Train Epoch 74 | [652864/732000 (89.19%)] Loss 0.0016, Accuaracy 96.70%
Train Epoch 74 | [665664/732000 (90.94%)] Loss 0.0016, Accuaracy 96.70%
Train Epoch 74 | [678464/732000 (92.69%)] Loss 0.0017, Accuaracy 96.69%
Train Epoch 74 | [691264/732000 (94.43%)] Loss 0.0017, Accuaracy 96.69%
Train Epoch 74 | [704064/732000 (96.18%)] Loss 0.0017, Accuaracy 96.68%
Train Epoch 74 | [716864/732000 (97.93%)] Loss 0.0017, Accuaracy 96.68%
Train Epoch 74 | [729664/732000 (99.68%)] Loss 0.0017, Accuaracy 96.67%
Train Epoch 74 | Avarage Loss 0.0017, Average Accuracy 96.67%
Valid Epoch 74 | [32/50000 (0.06%)] Loss 0.0506, Accuaracy 81.25%
Valid Epoch 74 | [1632/50000 (3.26%)] Loss 0.0845, Accuaracy 66.67%
Valid Epoch 74 | [3232/50000 (6.46%)] Loss 0.0823, Accuaracy 68.10%
Valid Epoch 74 | [4832/50000 (9.66%)] Loss 0.0850, Accuaracy 67.92%
Valid Epoch 74 | [6432/50000 (12.86%)] Loss 0.0861, Accuaracy 67.69%
Valid Epoch 74 | [8032/50000 (16.06%)] Loss 0.0859, Accuaracy 67.44%
Valid Epoch 74 | [9632/50000 (19.26%)] Loss 0.0851, Accuaracy 67.56%
Valid Epoch 74 | [11232/50000 (22.46%)] Loss 0.0854, Accuaracy 67.41%
Valid Epoch 74 | [12832/50000 (25.66%)] Loss 0.0851, Accuaracy 67.53%
Valid Epoch 74 | [14432/50000 (28.86%)] Loss 0.0852, Accuaracy 67.44%
Valid Epoch 74 | [16032/50000 (32.06%)] Loss 0.0854, Accuaracy 67.40%
Valid Epoch 74 | [17632/50000 (35.26%)] Loss 0.0857, Accuaracy 67.37%
Valid Epoch 74 | [19232/50000 (38.46%)] Loss 0.0856, Accuaracy 67.31%
Valid Epoch 74 | [20832/50000 (41.66%)] Loss 0.0857, Accuaracy 67.42%
Valid Epoch 74 | [22432/50000 (44.86%)] Loss 0.0852, Accuaracy 67.51%
Valid Epoch 74 | [24032/50000 (48.06%)] Loss 0.0858, Accuaracy 67.36%
Valid Epoch 74 | [25632/50000 (51.26%)] Loss 0.0859, Accuaracy 67.34%
Valid Epoch 74 | [27232/50000 (54.46%)] Loss 0.0857, Accuaracy 67.35%
Valid Epoch 74 | [28832/50000 (57.66%)] Loss 0.0862, Accuaracy 67.27%
Valid Epoch 74 | [30432/50000 (60.86%)] Loss 0.0858, Accuaracy 67.31%
Valid Epoch 74 | [32032/50000 (64.06%)] Loss 0.0859, Accuaracy 67.22%
Valid Epoch 74 | [33632/50000 (67.26%)] Loss 0.0856, Accuaracy 67.28%
Valid Epoch 74 | [35232/50000 (70.46%)] Loss 0.0856, Accuaracy 67.18%
Valid Epoch 74 | [36832/50000 (73.66%)] Loss 0.0858, Accuaracy 67.13%
Valid Epoch 74 | [38432/50000 (76.86%)] Loss 0.0858, Accuaracy 67.04%
Valid Epoch 74 | [40032/50000 (80.06%)] Loss 0.0859, Accuaracy 66.99%
Valid Epoch 74 | [41632/50000 (83.26%)] Loss 0.0857, Accuaracy 67.00%
Valid Epoch 74 | [43232/50000 (86.46%)] Loss 0.0857, Accuaracy 66.93%
Valid Epoch 74 | [44832/50000 (89.66%)] Loss 0.0856, Accuaracy 66.93%
Valid Epoch 74 | [46432/50000 (92.86%)] Loss 0.0855, Accuaracy 66.97%
Valid Epoch 74 | [48032/50000 (96.06%)] Loss 0.0852, Accuaracy 67.04%
Valid Epoch 74 | [49632/50000 (99.26%)] Loss 0.0853, Accuaracy 67.02%
Valid Epoch 74 | Avarage Loss 0.0853, Average Accuracy 67.02%
Train Epoch 75 | [64/732000 (0.01%)] Loss 0.0018, Accuaracy 95.31%
Train Epoch 75 | [12864/732000 (1.76%)] Loss 0.0014, Accuaracy 97.18%
Train Epoch 75 | [25664/732000 (3.51%)] Loss 0.0013, Accuaracy 97.29%
Train Epoch 75 | [38464/732000 (5.25%)] Loss 0.0013, Accuaracy 97.32%
Train Epoch 75 | [51264/732000 (7.00%)] Loss 0.0014, Accuaracy 97.28%
Train Epoch 75 | [64064/732000 (8.75%)] Loss 0.0014, Accuaracy 97.20%
Train Epoch 75 | [76864/732000 (10.50%)] Loss 0.0014, Accuaracy 97.20%
Train Epoch 75 | [89664/732000 (12.25%)] Loss 0.0014, Accuaracy 97.16%
Train Epoch 75 | [102464/732000 (14.00%)] Loss 0.0014, Accuaracy 97.11%
Train Epoch 75 | [115264/732000 (15.75%)] Loss 0.0014, Accuaracy 97.07%
Train Epoch 75 | [128064/732000 (17.50%)] Loss 0.0015, Accuaracy 97.05%
Train Epoch 75 | [140864/732000 (19.24%)] Loss 0.0015, Accuaracy 97.04%
Train Epoch 75 | [153664/732000 (20.99%)] Loss 0.0015, Accuaracy 96.99%
Train Epoch 75 | [166464/732000 (22.74%)] Loss 0.0015, Accuaracy 96.98%
Train Epoch 75 | [179264/732000 (24.49%)] Loss 0.0015, Accuaracy 96.97%
Train Epoch 75 | [192064/732000 (26.24%)] Loss 0.0015, Accuaracy 96.96%
Train Epoch 75 | [204864/732000 (27.99%)] Loss 0.0015, Accuaracy 96.94%
Train Epoch 75 | [217664/732000 (29.74%)] Loss 0.0015, Accuaracy 96.92%
Train Epoch 75 | [230464/732000 (31.48%)] Loss 0.0015, Accuaracy 96.91%
Train Epoch 75 | [243264/732000 (33.23%)] Loss 0.0015, Accuaracy 96.92%
Train Epoch 75 | [256064/732000 (34.98%)] Loss 0.0015, Accuaracy 96.92%
Train Epoch 75 | [268864/732000 (36.73%)] Loss 0.0015, Accuaracy 96.92%
Train Epoch 75 | [281664/732000 (38.48%)] Loss 0.0015, Accuaracy 96.91%
Train Epoch 75 | [294464/732000 (40.23%)] Loss 0.0015, Accuaracy 96.89%
Train Epoch 75 | [307264/732000 (41.98%)] Loss 0.0015, Accuaracy 96.87%
Train Epoch 75 | [320064/732000 (43.72%)] Loss 0.0016, Accuaracy 96.86%
Train Epoch 75 | [332864/732000 (45.47%)] Loss 0.0016, Accuaracy 96.86%
Train Epoch 75 | [345664/732000 (47.22%)] Loss 0.0016, Accuaracy 96.85%
Train Epoch 75 | [358464/732000 (48.97%)] Loss 0.0016, Accuaracy 96.85%
Train Epoch 75 | [371264/732000 (50.72%)] Loss 0.0016, Accuaracy 96.84%
Train Epoch 75 | [384064/732000 (52.47%)] Loss 0.0016, Accuaracy 96.82%
Train Epoch 75 | [396864/732000 (54.22%)] Loss 0.0016, Accuaracy 96.81%
Train Epoch 75 | [409664/732000 (55.97%)] Loss 0.0016, Accuaracy 96.79%
Train Epoch 75 | [422464/732000 (57.71%)] Loss 0.0016, Accuaracy 96.79%
Train Epoch 75 | [435264/732000 (59.46%)] Loss 0.0016, Accuaracy 96.78%
Train Epoch 75 | [448064/732000 (61.21%)] Loss 0.0016, Accuaracy 96.78%
Train Epoch 75 | [460864/732000 (62.96%)] Loss 0.0016, Accuaracy 96.77%
Train Epoch 75 | [473664/732000 (64.71%)] Loss 0.0016, Accuaracy 96.76%
Train Epoch 75 | [486464/732000 (66.46%)] Loss 0.0016, Accuaracy 96.76%
Train Epoch 75 | [499264/732000 (68.21%)] Loss 0.0016, Accuaracy 96.75%
Train Epoch 75 | [512064/732000 (69.95%)] Loss 0.0016, Accuaracy 96.75%
Train Epoch 75 | [524864/732000 (71.70%)] Loss 0.0016, Accuaracy 96.74%
Train Epoch 75 | [537664/732000 (73.45%)] Loss 0.0016, Accuaracy 96.74%
Train Epoch 75 | [550464/732000 (75.20%)] Loss 0.0016, Accuaracy 96.74%
Train Epoch 75 | [563264/732000 (76.95%)] Loss 0.0016, Accuaracy 96.73%
Train Epoch 75 | [576064/732000 (78.70%)] Loss 0.0016, Accuaracy 96.72%
Train Epoch 75 | [588864/732000 (80.45%)] Loss 0.0016, Accuaracy 96.72%
Train Epoch 75 | [601664/732000 (82.19%)] Loss 0.0016, Accuaracy 96.71%
Train Epoch 75 | [614464/732000 (83.94%)] Loss 0.0016, Accuaracy 96.71%
Train Epoch 75 | [627264/732000 (85.69%)] Loss 0.0016, Accuaracy 96.70%
Train Epoch 75 | [640064/732000 (87.44%)] Loss 0.0016, Accuaracy 96.69%
Train Epoch 75 | [652864/732000 (89.19%)] Loss 0.0016, Accuaracy 96.68%
Train Epoch 75 | [665664/732000 (90.94%)] Loss 0.0016, Accuaracy 96.67%
Train Epoch 75 | [678464/732000 (92.69%)] Loss 0.0016, Accuaracy 96.67%
Train Epoch 75 | [691264/732000 (94.43%)] Loss 0.0017, Accuaracy 96.66%
Train Epoch 75 | [704064/732000 (96.18%)] Loss 0.0017, Accuaracy 96.65%
Train Epoch 75 | [716864/732000 (97.93%)] Loss 0.0017, Accuaracy 96.64%
Train Epoch 75 | [729664/732000 (99.68%)] Loss 0.0017, Accuaracy 96.64%
Train Epoch 75 | Avarage Loss 0.0017, Average Accuracy 96.64%
Valid Epoch 75 | [32/50000 (0.06%)] Loss 0.0666, Accuaracy 71.88%
Valid Epoch 75 | [1632/50000 (3.26%)] Loss 0.0877, Accuaracy 65.81%
Valid Epoch 75 | [3232/50000 (6.46%)] Loss 0.0832, Accuaracy 67.11%
Valid Epoch 75 | [4832/50000 (9.66%)] Loss 0.0848, Accuaracy 67.16%
Valid Epoch 75 | [6432/50000 (12.86%)] Loss 0.0856, Accuaracy 66.92%
Valid Epoch 75 | [8032/50000 (16.06%)] Loss 0.0871, Accuaracy 66.51%
Valid Epoch 75 | [9632/50000 (19.26%)] Loss 0.0861, Accuaracy 66.56%
Valid Epoch 75 | [11232/50000 (22.46%)] Loss 0.0857, Accuaracy 66.78%
Valid Epoch 75 | [12832/50000 (25.66%)] Loss 0.0848, Accuaracy 66.86%
Valid Epoch 75 | [14432/50000 (28.86%)] Loss 0.0849, Accuaracy 66.93%
Valid Epoch 75 | [16032/50000 (32.06%)] Loss 0.0851, Accuaracy 66.87%
Valid Epoch 75 | [17632/50000 (35.26%)] Loss 0.0853, Accuaracy 66.90%
Valid Epoch 75 | [19232/50000 (38.46%)] Loss 0.0855, Accuaracy 66.78%
Valid Epoch 75 | [20832/50000 (41.66%)] Loss 0.0853, Accuaracy 66.90%
Valid Epoch 75 | [22432/50000 (44.86%)] Loss 0.0856, Accuaracy 66.65%
Valid Epoch 75 | [24032/50000 (48.06%)] Loss 0.0856, Accuaracy 66.73%
Valid Epoch 75 | [25632/50000 (51.26%)] Loss 0.0858, Accuaracy 66.75%
Valid Epoch 75 | [27232/50000 (54.46%)] Loss 0.0864, Accuaracy 66.69%
Valid Epoch 75 | [28832/50000 (57.66%)] Loss 0.0867, Accuaracy 66.68%
Valid Epoch 75 | [30432/50000 (60.86%)] Loss 0.0865, Accuaracy 66.76%
Valid Epoch 75 | [32032/50000 (64.06%)] Loss 0.0865, Accuaracy 66.75%
Valid Epoch 75 | [33632/50000 (67.26%)] Loss 0.0863, Accuaracy 66.80%
Valid Epoch 75 | [35232/50000 (70.46%)] Loss 0.0863, Accuaracy 66.84%
Valid Epoch 75 | [36832/50000 (73.66%)] Loss 0.0864, Accuaracy 66.83%
Valid Epoch 75 | [38432/50000 (76.86%)] Loss 0.0867, Accuaracy 66.79%
Valid Epoch 75 | [40032/50000 (80.06%)] Loss 0.0866, Accuaracy 66.79%
Valid Epoch 75 | [41632/50000 (83.26%)] Loss 0.0866, Accuaracy 66.75%
Valid Epoch 75 | [43232/50000 (86.46%)] Loss 0.0863, Accuaracy 66.82%
Valid Epoch 75 | [44832/50000 (89.66%)] Loss 0.0862, Accuaracy 66.82%
Valid Epoch 75 | [46432/50000 (92.86%)] Loss 0.0860, Accuaracy 66.85%
Valid Epoch 75 | [48032/50000 (96.06%)] Loss 0.0859, Accuaracy 66.86%
Valid Epoch 75 | [49632/50000 (99.26%)] Loss 0.0857, Accuaracy 66.89%
Valid Epoch 75 | Avarage Loss 0.0856, Average Accuracy 66.91%
Train Epoch 76 | [64/732000 (0.01%)] Loss 0.0011, Accuaracy 98.44%
Train Epoch 76 | [12864/732000 (1.76%)] Loss 0.0013, Accuaracy 97.35%
Train Epoch 76 | [25664/732000 (3.51%)] Loss 0.0013, Accuaracy 97.31%
Train Epoch 76 | [38464/732000 (5.25%)] Loss 0.0014, Accuaracy 97.18%
Train Epoch 76 | [51264/732000 (7.00%)] Loss 0.0014, Accuaracy 97.16%
Train Epoch 76 | [64064/732000 (8.75%)] Loss 0.0014, Accuaracy 97.14%
Train Epoch 76 | [76864/732000 (10.50%)] Loss 0.0014, Accuaracy 97.11%
Train Epoch 76 | [89664/732000 (12.25%)] Loss 0.0014, Accuaracy 97.09%
Train Epoch 76 | [102464/732000 (14.00%)] Loss 0.0014, Accuaracy 97.08%
Train Epoch 76 | [115264/732000 (15.75%)] Loss 0.0014, Accuaracy 97.07%
Train Epoch 76 | [128064/732000 (17.50%)] Loss 0.0014, Accuaracy 97.05%
Train Epoch 76 | [140864/732000 (19.24%)] Loss 0.0015, Accuaracy 97.04%
Train Epoch 76 | [153664/732000 (20.99%)] Loss 0.0015, Accuaracy 97.01%
Train Epoch 76 | [166464/732000 (22.74%)] Loss 0.0015, Accuaracy 97.01%
Train Epoch 76 | [179264/732000 (24.49%)] Loss 0.0015, Accuaracy 97.01%
Train Epoch 76 | [192064/732000 (26.24%)] Loss 0.0015, Accuaracy 96.99%
Train Epoch 76 | [204864/732000 (27.99%)] Loss 0.0015, Accuaracy 96.96%
Train Epoch 76 | [217664/732000 (29.74%)] Loss 0.0015, Accuaracy 96.94%
Train Epoch 76 | [230464/732000 (31.48%)] Loss 0.0015, Accuaracy 96.92%
Train Epoch 76 | [243264/732000 (33.23%)] Loss 0.0015, Accuaracy 96.93%
Train Epoch 76 | [256064/732000 (34.98%)] Loss 0.0015, Accuaracy 96.91%
Train Epoch 76 | [268864/732000 (36.73%)] Loss 0.0015, Accuaracy 96.90%
Train Epoch 76 | [281664/732000 (38.48%)] Loss 0.0015, Accuaracy 96.90%
Train Epoch 76 | [294464/732000 (40.23%)] Loss 0.0015, Accuaracy 96.91%
Train Epoch 76 | [307264/732000 (41.98%)] Loss 0.0015, Accuaracy 96.90%
Train Epoch 76 | [320064/732000 (43.72%)] Loss 0.0015, Accuaracy 96.90%
Train Epoch 76 | [332864/732000 (45.47%)] Loss 0.0015, Accuaracy 96.89%
Train Epoch 76 | [345664/732000 (47.22%)] Loss 0.0015, Accuaracy 96.89%
Train Epoch 76 | [358464/732000 (48.97%)] Loss 0.0015, Accuaracy 96.88%
Train Epoch 76 | [371264/732000 (50.72%)] Loss 0.0015, Accuaracy 96.87%
Train Epoch 76 | [384064/732000 (52.47%)] Loss 0.0016, Accuaracy 96.87%
Train Epoch 76 | [396864/732000 (54.22%)] Loss 0.0016, Accuaracy 96.86%
Train Epoch 76 | [409664/732000 (55.97%)] Loss 0.0016, Accuaracy 96.85%
Train Epoch 76 | [422464/732000 (57.71%)] Loss 0.0016, Accuaracy 96.85%
Train Epoch 76 | [435264/732000 (59.46%)] Loss 0.0016, Accuaracy 96.83%
Train Epoch 76 | [448064/732000 (61.21%)] Loss 0.0016, Accuaracy 96.83%
Train Epoch 76 | [460864/732000 (62.96%)] Loss 0.0016, Accuaracy 96.83%
Train Epoch 76 | [473664/732000 (64.71%)] Loss 0.0016, Accuaracy 96.83%
Train Epoch 76 | [486464/732000 (66.46%)] Loss 0.0016, Accuaracy 96.82%
Train Epoch 76 | [499264/732000 (68.21%)] Loss 0.0016, Accuaracy 96.81%
Train Epoch 76 | [512064/732000 (69.95%)] Loss 0.0016, Accuaracy 96.81%
Train Epoch 76 | [524864/732000 (71.70%)] Loss 0.0016, Accuaracy 96.80%
Train Epoch 76 | [537664/732000 (73.45%)] Loss 0.0016, Accuaracy 96.80%
Train Epoch 76 | [550464/732000 (75.20%)] Loss 0.0016, Accuaracy 96.79%
Train Epoch 76 | [563264/732000 (76.95%)] Loss 0.0016, Accuaracy 96.79%
Train Epoch 76 | [576064/732000 (78.70%)] Loss 0.0016, Accuaracy 96.78%
Train Epoch 76 | [588864/732000 (80.45%)] Loss 0.0016, Accuaracy 96.77%
Train Epoch 76 | [601664/732000 (82.19%)] Loss 0.0016, Accuaracy 96.77%
Train Epoch 76 | [614464/732000 (83.94%)] Loss 0.0016, Accuaracy 96.77%
Train Epoch 76 | [627264/732000 (85.69%)] Loss 0.0016, Accuaracy 96.76%
Train Epoch 76 | [640064/732000 (87.44%)] Loss 0.0016, Accuaracy 96.75%
Train Epoch 76 | [652864/732000 (89.19%)] Loss 0.0016, Accuaracy 96.74%
Train Epoch 76 | [665664/732000 (90.94%)] Loss 0.0016, Accuaracy 96.73%
Train Epoch 76 | [678464/732000 (92.69%)] Loss 0.0016, Accuaracy 96.73%
Train Epoch 76 | [691264/732000 (94.43%)] Loss 0.0016, Accuaracy 96.72%
Train Epoch 76 | [704064/732000 (96.18%)] Loss 0.0016, Accuaracy 96.72%
Train Epoch 76 | [716864/732000 (97.93%)] Loss 0.0016, Accuaracy 96.71%
Train Epoch 76 | [729664/732000 (99.68%)] Loss 0.0016, Accuaracy 96.70%
Train Epoch 76 | Avarage Loss 0.0016, Average Accuracy 96.70%
Valid Epoch 76 | [32/50000 (0.06%)] Loss 0.0602, Accuaracy 68.75%
Valid Epoch 76 | [1632/50000 (3.26%)] Loss 0.0846, Accuaracy 67.77%
Valid Epoch 76 | [3232/50000 (6.46%)] Loss 0.0853, Accuaracy 68.13%
Valid Epoch 76 | [4832/50000 (9.66%)] Loss 0.0843, Accuaracy 67.47%
Valid Epoch 76 | [6432/50000 (12.86%)] Loss 0.0847, Accuaracy 67.21%
Valid Epoch 76 | [8032/50000 (16.06%)] Loss 0.0834, Accuaracy 67.74%
Valid Epoch 76 | [9632/50000 (19.26%)] Loss 0.0847, Accuaracy 67.22%
Valid Epoch 76 | [11232/50000 (22.46%)] Loss 0.0850, Accuaracy 66.92%
Valid Epoch 76 | [12832/50000 (25.66%)] Loss 0.0853, Accuaracy 66.92%
Valid Epoch 76 | [14432/50000 (28.86%)] Loss 0.0851, Accuaracy 67.00%
Valid Epoch 76 | [16032/50000 (32.06%)] Loss 0.0854, Accuaracy 66.79%
Valid Epoch 76 | [17632/50000 (35.26%)] Loss 0.0849, Accuaracy 66.92%
Valid Epoch 76 | [19232/50000 (38.46%)] Loss 0.0854, Accuaracy 66.96%
Valid Epoch 76 | [20832/50000 (41.66%)] Loss 0.0853, Accuaracy 67.02%
Valid Epoch 76 | [22432/50000 (44.86%)] Loss 0.0854, Accuaracy 67.03%
Valid Epoch 76 | [24032/50000 (48.06%)] Loss 0.0848, Accuaracy 67.14%
Valid Epoch 76 | [25632/50000 (51.26%)] Loss 0.0849, Accuaracy 67.18%
Valid Epoch 76 | [27232/50000 (54.46%)] Loss 0.0852, Accuaracy 67.13%
Valid Epoch 76 | [28832/50000 (57.66%)] Loss 0.0851, Accuaracy 67.14%
Valid Epoch 76 | [30432/50000 (60.86%)] Loss 0.0855, Accuaracy 67.08%
Valid Epoch 76 | [32032/50000 (64.06%)] Loss 0.0852, Accuaracy 67.13%
Valid Epoch 76 | [33632/50000 (67.26%)] Loss 0.0852, Accuaracy 67.16%
Valid Epoch 76 | [35232/50000 (70.46%)] Loss 0.0858, Accuaracy 67.15%
Valid Epoch 76 | [36832/50000 (73.66%)] Loss 0.0855, Accuaracy 67.19%
Valid Epoch 76 | [38432/50000 (76.86%)] Loss 0.0857, Accuaracy 67.17%
Valid Epoch 76 | [40032/50000 (80.06%)] Loss 0.0856, Accuaracy 67.15%
Valid Epoch 76 | [41632/50000 (83.26%)] Loss 0.0856, Accuaracy 67.16%
Valid Epoch 76 | [43232/50000 (86.46%)] Loss 0.0856, Accuaracy 67.23%
Valid Epoch 76 | [44832/50000 (89.66%)] Loss 0.0857, Accuaracy 67.19%
Valid Epoch 76 | [46432/50000 (92.86%)] Loss 0.0854, Accuaracy 67.26%
Valid Epoch 76 | [48032/50000 (96.06%)] Loss 0.0855, Accuaracy 67.24%
Valid Epoch 76 | [49632/50000 (99.26%)] Loss 0.0855, Accuaracy 67.22%
Valid Epoch 76 | Avarage Loss 0.0857, Average Accuracy 67.20%
Train Epoch 77 | [64/732000 (0.01%)] Loss 0.0007, Accuaracy 98.44%
Train Epoch 77 | [12864/732000 (1.76%)] Loss 0.0013, Accuaracy 97.39%
Train Epoch 77 | [25664/732000 (3.51%)] Loss 0.0012, Accuaracy 97.43%
Train Epoch 77 | [38464/732000 (5.25%)] Loss 0.0013, Accuaracy 97.26%
Train Epoch 77 | [51264/732000 (7.00%)] Loss 0.0013, Accuaracy 97.25%
Train Epoch 77 | [64064/732000 (8.75%)] Loss 0.0013, Accuaracy 97.25%
Train Epoch 77 | [76864/732000 (10.50%)] Loss 0.0013, Accuaracy 97.26%
Train Epoch 77 | [89664/732000 (12.25%)] Loss 0.0013, Accuaracy 97.25%
Train Epoch 77 | [102464/732000 (14.00%)] Loss 0.0014, Accuaracy 97.22%
Train Epoch 77 | [115264/732000 (15.75%)] Loss 0.0014, Accuaracy 97.18%
Train Epoch 77 | [128064/732000 (17.50%)] Loss 0.0014, Accuaracy 97.19%
Train Epoch 77 | [140864/732000 (19.24%)] Loss 0.0014, Accuaracy 97.16%
Train Epoch 77 | [153664/732000 (20.99%)] Loss 0.0014, Accuaracy 97.12%
Train Epoch 77 | [166464/732000 (22.74%)] Loss 0.0014, Accuaracy 97.12%
Train Epoch 77 | [179264/732000 (24.49%)] Loss 0.0014, Accuaracy 97.11%
Train Epoch 77 | [192064/732000 (26.24%)] Loss 0.0014, Accuaracy 97.11%
Train Epoch 77 | [204864/732000 (27.99%)] Loss 0.0014, Accuaracy 97.10%
Train Epoch 77 | [217664/732000 (29.74%)] Loss 0.0014, Accuaracy 97.09%
Train Epoch 77 | [230464/732000 (31.48%)] Loss 0.0015, Accuaracy 97.07%
Train Epoch 77 | [243264/732000 (33.23%)] Loss 0.0015, Accuaracy 97.04%
Train Epoch 77 | [256064/732000 (34.98%)] Loss 0.0015, Accuaracy 97.02%
Train Epoch 77 | [268864/732000 (36.73%)] Loss 0.0015, Accuaracy 97.01%
Train Epoch 77 | [281664/732000 (38.48%)] Loss 0.0015, Accuaracy 96.99%
Train Epoch 77 | [294464/732000 (40.23%)] Loss 0.0015, Accuaracy 96.99%
Train Epoch 77 | [307264/732000 (41.98%)] Loss 0.0015, Accuaracy 96.97%
Train Epoch 77 | [320064/732000 (43.72%)] Loss 0.0015, Accuaracy 96.97%
Train Epoch 77 | [332864/732000 (45.47%)] Loss 0.0015, Accuaracy 96.96%
Train Epoch 77 | [345664/732000 (47.22%)] Loss 0.0015, Accuaracy 96.95%
Train Epoch 77 | [358464/732000 (48.97%)] Loss 0.0015, Accuaracy 96.94%
Train Epoch 77 | [371264/732000 (50.72%)] Loss 0.0015, Accuaracy 96.93%
Train Epoch 77 | [384064/732000 (52.47%)] Loss 0.0015, Accuaracy 96.93%
Train Epoch 77 | [396864/732000 (54.22%)] Loss 0.0015, Accuaracy 96.91%
Train Epoch 77 | [409664/732000 (55.97%)] Loss 0.0015, Accuaracy 96.90%
Train Epoch 77 | [422464/732000 (57.71%)] Loss 0.0015, Accuaracy 96.89%
Train Epoch 77 | [435264/732000 (59.46%)] Loss 0.0016, Accuaracy 96.89%
Train Epoch 77 | [448064/732000 (61.21%)] Loss 0.0016, Accuaracy 96.87%
Train Epoch 77 | [460864/732000 (62.96%)] Loss 0.0016, Accuaracy 96.87%
Train Epoch 77 | [473664/732000 (64.71%)] Loss 0.0016, Accuaracy 96.86%
Train Epoch 77 | [486464/732000 (66.46%)] Loss 0.0016, Accuaracy 96.85%
Train Epoch 77 | [499264/732000 (68.21%)] Loss 0.0016, Accuaracy 96.84%
Train Epoch 77 | [512064/732000 (69.95%)] Loss 0.0016, Accuaracy 96.83%
Train Epoch 77 | [524864/732000 (71.70%)] Loss 0.0016, Accuaracy 96.83%
Train Epoch 77 | [537664/732000 (73.45%)] Loss 0.0016, Accuaracy 96.82%
Train Epoch 77 | [550464/732000 (75.20%)] Loss 0.0016, Accuaracy 96.81%
Train Epoch 77 | [563264/732000 (76.95%)] Loss 0.0016, Accuaracy 96.81%
Train Epoch 77 | [576064/732000 (78.70%)] Loss 0.0016, Accuaracy 96.80%
Train Epoch 77 | [588864/732000 (80.45%)] Loss 0.0016, Accuaracy 96.80%
Train Epoch 77 | [601664/732000 (82.19%)] Loss 0.0016, Accuaracy 96.79%
Train Epoch 77 | [614464/732000 (83.94%)] Loss 0.0016, Accuaracy 96.79%
Train Epoch 77 | [627264/732000 (85.69%)] Loss 0.0016, Accuaracy 96.79%
Train Epoch 77 | [640064/732000 (87.44%)] Loss 0.0016, Accuaracy 96.79%
Train Epoch 77 | [652864/732000 (89.19%)] Loss 0.0016, Accuaracy 96.78%
Train Epoch 77 | [665664/732000 (90.94%)] Loss 0.0016, Accuaracy 96.77%
Train Epoch 77 | [678464/732000 (92.69%)] Loss 0.0016, Accuaracy 96.77%
Train Epoch 77 | [691264/732000 (94.43%)] Loss 0.0016, Accuaracy 96.76%
Train Epoch 77 | [704064/732000 (96.18%)] Loss 0.0016, Accuaracy 96.76%
Train Epoch 77 | [716864/732000 (97.93%)] Loss 0.0016, Accuaracy 96.75%
Train Epoch 77 | [729664/732000 (99.68%)] Loss 0.0016, Accuaracy 96.75%
Train Epoch 77 | Avarage Loss 0.0016, Average Accuracy 96.75%
Valid Epoch 77 | [32/50000 (0.06%)] Loss 0.1034, Accuaracy 46.88%
Valid Epoch 77 | [1632/50000 (3.26%)] Loss 0.0907, Accuaracy 65.44%
Valid Epoch 77 | [3232/50000 (6.46%)] Loss 0.0899, Accuaracy 66.15%
Valid Epoch 77 | [4832/50000 (9.66%)] Loss 0.0906, Accuaracy 66.39%
Valid Epoch 77 | [6432/50000 (12.86%)] Loss 0.0894, Accuaracy 66.68%
Valid Epoch 77 | [8032/50000 (16.06%)] Loss 0.0889, Accuaracy 66.65%
Valid Epoch 77 | [9632/50000 (19.26%)] Loss 0.0874, Accuaracy 67.00%
Valid Epoch 77 | [11232/50000 (22.46%)] Loss 0.0877, Accuaracy 66.96%
Valid Epoch 77 | [12832/50000 (25.66%)] Loss 0.0881, Accuaracy 67.00%
Valid Epoch 77 | [14432/50000 (28.86%)] Loss 0.0883, Accuaracy 66.83%
Valid Epoch 77 | [16032/50000 (32.06%)] Loss 0.0876, Accuaracy 67.02%
